fieldname;id_amat;descrizione
categoria_euro;4;EURO3
classe_areac;0;NC
classe_areac;6;moto
tipologia_alimentazione;6;GPL
esenti;1;Autorizzati
veicoli_servizio;0;veicoli non di servizio
tipologia_alimentazione;1;BENZINA
tipologia_alimentazione;9;METANO
tipologia_alimentazione;14;IDROGENO
categoria_veicolo;0;NC
tipologia_alimentazione;5;IBRIDO
tipologia_alimentazione;12;IBRIDO GASOLIO ELETTRICO
tipologia_alimentazione;11;IBRIDO BENZINA ELETTRICO
tipologia_alimentazione;7;MISCELA
moto;1;moto
moto;0;autoveicolo
classe_areac;4;paganti veicoli di servizio
classe_areac;1;autorizzati
classe_areac;2;veicoli ecologici
categoria_euro;3;EURO2
categoria_euro;1;EURO0
categoria_euro;6;EURO5
categoria_euro;7;EURO6
tipologia_alimentazione;13;GNL
categoria_veicolo;2;BUS
tipologia_alimentazione;8;IBRIDO GASOLIO
categoria_veicolo;4;PERSONE
tipologia_alimentazione;4;GPL_METANO
categoria_euro;0;NC
classe_areac;5;altri paganti
tipologia_alimentazione;2;DIESEL
categoria_veicolo;3;MERCI
tipologia_alimentazione;10;IBRIDO BENZINA
categoria_euro;2;EURO1
classe_areac;3;paganti residenti
tipologia_alimentazione;0;NC
residenti;0;non residenti
tipologia_alimentazione;3;ELETTRICO
residenti;1;residente
categoria_euro;5;EURO4
veicoli_servizio;1;veicoli di servizio
esenti;0;Non autorizzati
categoria_veicolo;1;ALTRO
