id_amat;label;LONG_X_4326;LAT_Y_4326;Location
57;PORTA TENAGLIA;9.18173638705539;45.4776150167632;"(45.477615016763224, 9.181736387055386)"
58;LEGNANO;9.18109499609912;45.4769479135779;"(45.476947913577916, 9.181094996099123)"
59;MOSCOVA;9.18190290986497;45.4782829620598;"(45.47828296205978, 9.181902909864968)"
60;VOLTA;9.18292490960544;45.4805231877842;"(45.480523187784165, 9.182924909605438)"
61;GARIBALDI;9.18652972237674;45.4801481210989;"(45.48014812109893, 9.18652972237674)"
62;MILAZZO;9.18783856180104;45.4799208137782;"(45.479920813778165, 9.187838561801035)"
63;CASTELFIDARDO;9.19149691482655;45.4794558678045;"(45.479455867804546, 9.191496914826553)"
64;TURATI;9.19574879419331;45.4772199571365;"(45.47721995713646, 9.195748794193307)"
65;VENEZIA;9.20451052160066;45.4739996533071;"(45.47399965330713, 9.204510521600662)"
66;BARETTI;9.20503767573356;45.471545364915;"(45.47154536491499, 9.205037675733562)"
67;VITALI;9.20506298038216;45.4708421909493;"(45.47084219094934, 9.205062980382158)"
68;ROSSINI;9.20528237775031;45.469437339921;"(45.469437339921, 9.20528237775031)"
69;MONFORTE;9.20546401718211;45.4677464626084;"(45.467746462608446, 9.205464017182113)"
70;MASCAGNI;9.205584650562;45.4665135875838;"(45.46651358758382, 9.205584650561997)"
71;PORTA VITTORIA;9.20636564064418;45.4623962689721;"(45.46239626897209, 9.206365640644183)"
72;BESANA;9.20607430355271;45.4601027350977;"(45.46010273509775, 9.206074303552711)"
73;LAMARMORA;9.20411371281744;45.4573920033985;"(45.45739200339853, 9.204113712817438)"
74;CURTATONE;9.20275349378274;45.4551514780466;"(45.45515147804656, 9.202753493782739)"
75;PORTA ROMANA;9.20156837474181;45.4525648665121;"(45.45256486651212, 9.201568374741809)"
76;CABRINI;9.19891524963366;45.4522966448794;"(45.4522966448794, 9.198915249633664)"
77;PORTA VIGENTINA;9.19644482033833;45.4523073925855;"(45.452307392585475, 9.196444820338334)"
78;BIANCA DI SAVOIA;9.19105435598676;45.4522875416102;"(45.45228754161016, 9.191054355986761)"
79;MELEGNANO;9.18865492020776;45.4523680183919;"(45.45236801839186, 9.188654920207759)"
80;ITALIA;9.18681708794804;45.4525896313982;"(45.45258963139817, 9.186817087948038)"
81;AURISPA;9.18441186068977;45.4528082608089;"(45.452808260808865, 9.184411860689771)"
82;PORTA TICINESE;9.18027400620733;45.453255379495;"(45.45325537949504, 9.180274006207332)"
83;PANZERI;9.1783766390808;45.4532109252595;"(45.45321092525949, 9.1783766390808)"
84;RONZONI;9.17628400234693;45.4543321754054;"(45.454332175405355, 9.176284002346932)"
85;GENOVA;9.17376893922906;45.4559827494561;"(45.455982749456055, 9.173768939229058)"
86;AUSONIO;9.17137166753149;45.4576065428322;"(45.45760654283222, 9.171371667531487)"
87;SANT'AGOSTINO;9.16975259571797;45.4586533465499;"(45.45865334654985, 9.16975259571797)"
88;SERVIO TULLIO;9.16862245643643;45.4593180995133;"(45.459318099513304, 9.16862245643643)"
89;OLIVETANI;9.16691349630029;45.4603186477052;"(45.46031864770521, 9.166913496300293)"
90;BANDELLO;9.16529160119686;45.4628393273588;"(45.462839327358765, 9.165291601196865)"
91;SAN VITTORE;9.16599513908632;45.4646400054702;"(45.464640005470166, 9.165995139086323)"
92;MAGENTA;9.16637724018542;45.4659497748796;"(45.46594977487957, 9.166377240185424)"
93;BOCCACCIO;9.16692400998875;45.467469980413;"(45.46746998041297, 9.166924009988751)"
94;XX SETTEMBRE;9.16685791397571;45.4677715592231;"(45.46777155922311, 9.166857913975715)"
95;BAZZONI;9.16643454440001;45.4678983482758;"(45.4678983482758, 9.166434544400008)"
96;MASCHERONI;9.16605862635028;45.4694235851728;"(45.46942358517284, 9.16605862635028)"
97;MONTI;9.16908759144471;45.4709162126664;"(45.47091621266643, 9.169087591444713)"
98;MILTON;9.17010330562476;45.4738065967241;"(45.47380659672408, 9.170103305624757)"
